                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4763,                 3.3487,                 1.2343,                0.00337,                0.93617,                0.44048,                0.17012,                 1.3044,                 3.7043,                 1.1916,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.5056,                 2.2296,                  1.246,                0.78138,                0.15222,                0.45912,                0.20865,                 1.5784,                 3.3211,                 1.3713,              0.0012747,              0.0012747,              0.0012747
                      3,                 1.5737,                 1.9744,                 1.2956,                0.53547,                0.62766,                0.51477,                0.24146,                 1.6166,                 2.6758,                 1.4031,              0.0018538,              0.0018538,              0.0018538
                      4,                 1.5675,                 1.9103,                 1.3082,                 0.6351,                  0.574,                0.65171,                0.32674,                 1.6883,                 2.2436,                 1.5146,               0.001802,               0.001802,               0.001802
                      5,                 1.5489,                  1.743,                 1.3103,                0.82664,                0.65957,                0.72429,                0.35664,                 1.6493,                 1.8192,                 1.4857,               0.001736,               0.001736,               0.001736
                      6,                 1.5416,                 1.5898,                 1.3018,                0.73804,                0.77928,                0.74244,                0.39106,                 1.5187,                 1.8338,                 1.3603,                0.00167,                0.00167,                0.00167
                      7,                  1.524,                 1.4345,                 1.2669,                0.78228,                0.79787,                0.80501,                 0.4272,                  1.566,                 1.7768,                 1.4639,               0.001604,               0.001604,               0.001604
                      8,                 1.4988,                  1.471,                 1.2895,                0.87156,                0.82979,                0.87659,                0.42729,                 1.5852,                  1.829,                 1.4146,               0.001538,               0.001538,               0.001538
                      9,                 1.4375,                 1.3773,                 1.2604,                0.75769,                0.76512,                0.71602,                0.35327,                 1.6266,                 1.5172,                 1.4424,               0.001472,               0.001472,               0.001472
                     10,                 1.4533,                 1.3961,                 1.2692,                 0.7386,                 0.8116,                0.76445,                0.41513,                 1.5191,                 1.3194,                 1.3476,               0.001406,               0.001406,               0.001406
                     11,                 1.3566,                 1.2357,                 1.2139,                0.85333,                0.80465,                0.83414,                0.45262,                 1.4354,                 1.3595,                 1.3334,                0.00134,                0.00134,                0.00134
                     12,                 1.3731,                 1.1489,                 1.2041,                0.80278,                0.76596,                0.83341,                0.45841,                 1.4842,                 1.1459,                 1.3157,               0.001274,               0.001274,               0.001274
                     13,                 1.4157,                 1.1289,                 1.2413,                 0.8052,                0.89362,                 0.8604,                 0.4622,                 1.4668,                  1.072,                 1.3117,               0.001208,               0.001208,               0.001208
                     14,                  1.317,                 1.0427,                 1.1685,                0.84527,                0.81363,                0.89206,                0.47938,                 1.5395,                 1.1001,                 1.3604,               0.001142,               0.001142,               0.001142
                     15,                 1.3365,                 1.0466,                 1.1914,                0.89136,                 0.8728,                0.89576,                 0.4958,                 1.4704,                 1.0225,                 1.3221,               0.001076,               0.001076,               0.001076
                     16,                 1.3732,                 1.0363,                 1.1772,                0.94261,                0.87373,                0.93261,                0.48024,                 1.4437,                 1.1047,                 1.2867,                0.00101,                0.00101,                0.00101
                     17,                 1.3314,                 1.0134,                 1.1691,                0.89646,                0.84043,                0.90569,                0.49541,                   1.41,                0.96902,                 1.2682,               0.000944,               0.000944,               0.000944
                     18,                 1.3411,                0.99488,                 1.1866,                0.91151,                0.85106,                0.92285,                0.50961,                 1.4897,                0.89221,                 1.2782,               0.000878,               0.000878,               0.000878
                     19,                  1.227,                0.91468,                 1.1325,                0.87323,                0.87942,                0.88736,                0.46805,                 1.4712,                0.91556,                 1.3153,               0.000812,               0.000812,               0.000812
                     20,                 1.2425,                0.92961,                 1.1366,                0.92503,                0.81915,                0.89736,                0.50207,                 1.4975,                0.94492,                 1.3395,               0.000746,               0.000746,               0.000746
                     21,                 1.2351,                 0.9636,                 1.1423,                0.83145,                0.89212,                0.88608,                0.49881,                 1.4587,                0.88809,                  1.346,                0.00068,                0.00068,                0.00068
                     22,                 1.1727,                0.85707,                  1.118,                0.87728,                 0.9126,                0.90446,                0.51756,                 1.4157,                0.84962,                 1.2983,               0.000614,               0.000614,               0.000614
                     23,                 1.2064,                0.82693,                  1.124,                0.94164,                 0.8617,                0.91586,                 0.5272,                 1.3993,                0.80621,                 1.2854,               0.000548,               0.000548,               0.000548
                     24,                 1.1754,                0.83872,                 1.1054,                0.85876,                0.93617,                0.90703,                0.49976,                 1.4488,                0.85078,                 1.2936,               0.000482,               0.000482,               0.000482
                     25,                  1.239,                0.83254,                 1.1388,                 0.9225,                0.88645,                0.89878,                 0.5307,                 1.3586,                0.81117,                 1.2787,               0.000416,               0.000416,               0.000416
                     26,                 1.1761,                0.79097,                 1.1059,                0.89632,                0.91972,                0.90627,                 0.5285,                 1.3699,                0.81779,                 1.2681,                0.00035,                0.00035,                0.00035
                     27,                 1.1063,                0.74765,                 1.0867,                0.89506,                0.90743,                 0.9264,                0.54782,                 1.3869,                0.79184,                 1.2741,               0.000284,               0.000284,               0.000284
                     28,                 1.1241,                0.76743,                 1.0976,                0.88543,                0.91489,                0.90244,                0.51934,                 1.3515,                0.80789,                 1.2732,               0.000218,               0.000218,               0.000218
                     29,                 1.1044,                0.74439,                 1.0761,                0.91245,                0.88706,                0.92301,                0.54771,                 1.3256,                0.80072,                  1.258,               0.000152,               0.000152,               0.000152
                     30,                 1.0946,                0.73216,                 1.0766,                0.92075,                0.88298,                0.92519,                0.55186,                 1.3197,                0.78931,                 1.2559,                8.6e-05,                8.6e-05,                8.6e-05
